date,pcr_tests_GREENLEE,pcr_pos_tests_GREENLEE,pcr_positivity_GREENLEE,ser_tests_GREENLEE,ser_pos_tests_GREENLEE,ser_positivity_GREENLEE
2020-10-19 00:00:00,8,4,0.5,3.0,0.0,0
2020-10-18 00:00:00,8,1,0.125,,,
2020-10-17 00:00:00,4,0,0,,,
2020-10-16 00:00:00,8,0,0,,,
2020-10-15 00:00:00,4,1,0.25,,,
2020-10-14 00:00:00,3,0,0,,,
2020-10-13 00:00:00,9,2,0.2222222222222222,1.0,0.0,0
2020-10-12 00:00:00,8,1,0.125,,,
2020-10-11 00:00:00,5,0,0,,,
2020-10-10 00:00:00,2,0,0,,,
2020-10-09 00:00:00,11,3,0.2727272727272727,,,
2020-10-08 00:00:00,8,2,0.25,,,
2020-10-07 00:00:00,5,0,0,1.0,0.0,0
2020-10-06 00:00:00,1,0,0,1.0,0.0,0
2020-10-05 00:00:00,6,1,0.1666666666666667,,,
2020-10-04 00:00:00,1,0,0,,,
2020-10-03 00:00:00,5,0,0,,,
2020-10-02 00:00:00,7,0,0,,,
2020-10-01 00:00:00,2,0,0,,,
2020-09-30 00:00:00,5,0,0,,,
2020-09-29 00:00:00,3,0,0,,,
2020-09-28 00:00:00,7,0,0,1.0,0.0,0
2020-09-27 00:00:00,5,0,0,,,
2020-09-26 00:00:00,4,0,0,,,
2020-09-25 00:00:00,9,0,0,1.0,0.0,0
2020-09-24 00:00:00,7,0,0,2.0,0.0,0
2020-09-23 00:00:00,4,0,0,,,
2020-09-22 00:00:00,3,0,0,,,
2020-09-21 00:00:00,7,1,0.1428571428571429,1.0,0.0,0
2020-09-20 00:00:00,1,0,0,,,
2020-09-19 00:00:00,8,0,0,,,
2020-09-18 00:00:00,2,0,0,,,
2020-09-17 00:00:00,2,0,0,,,
2020-09-16 00:00:00,4,0,0,,,
2020-09-15 00:00:00,6,0,0,,,
2020-09-14 00:00:00,7,0,0,,,
2020-09-13 00:00:00,4,0,0,,,
2020-09-12 00:00:00,68,0,0,,,
2020-09-11 00:00:00,3,0,0,,,
2020-09-10 00:00:00,4,0,0,,,
2020-09-09 00:00:00,6,0,0,,,
2020-09-08 00:00:00,10,0,0,,,
2020-09-06 00:00:00,1,0,0,,,
2020-09-05 00:00:00,2,0,0,,,
2020-09-04 00:00:00,2,0,0,,,
2020-09-03 00:00:00,4,0,0,1.0,0.0,0
2020-09-02 00:00:00,8,0,0,,,
2020-09-01 00:00:00,4,0,0,,,
2020-08-31 00:00:00,9,0,0,,,
2020-08-30 00:00:00,1,0,0,,,
2020-08-29 00:00:00,3,0,0,1.0,0.0,0
2020-08-28 00:00:00,3,0,0,,,
2020-08-27 00:00:00,7,0,0,1.0,0.0,0
2020-08-26 00:00:00,5,0,0,,,
2020-08-25 00:00:00,7,0,0,1.0,0.0,0
2020-08-24 00:00:00,14,0,0,1.0,0.0,0
2020-08-23 00:00:00,1,0,0,,,
2020-08-22 00:00:00,2,0,0,,,
2020-08-21 00:00:00,2,0,0,1.0,0.0,0
2020-08-20 00:00:00,3,0,0,,,
2020-08-19 00:00:00,5,0,0,3.0,0.0,0
2020-08-18 00:00:00,8,0,0,1.0,0.0,0
2020-08-17 00:00:00,5,0,0,3.0,0.0,0
2020-08-14 00:00:00,3,0,0,,,
2020-08-13 00:00:00,3,0,0,,,
2020-08-12 00:00:00,7,0,0,,,
2020-08-11 00:00:00,8,0,0,,,
2020-08-10 00:00:00,6,0,0,2.0,0.0,0
2020-08-09 00:00:00,6,0,0,,,
2020-08-08 00:00:00,1,0,0,,,
2020-08-07 00:00:00,8,0,0,1.0,1.0,1
2020-08-06 00:00:00,4,0,0,1.0,0.0,0
2020-08-05 00:00:00,5,0,0,2.0,0.0,0
2020-08-04 00:00:00,5,0,0,1.0,0.0,0
2020-08-03 00:00:00,4,1,0.25,,,
2020-08-02 00:00:00,8,0,0,,,
2020-08-01 00:00:00,2,0,0,,,
2020-07-31 00:00:00,7,0,0,,,
2020-07-30 00:00:00,6,1,0.1666666666666667,1.0,0.0,0
2020-07-29 00:00:00,12,0,0,3.0,0.0,0
2020-07-28 00:00:00,16,0,0,3.0,0.0,0
2020-07-27 00:00:00,8,0,0,1.0,0.0,0
2020-07-26 00:00:00,4,2,0.5,1.0,0.0,0
2020-07-25 00:00:00,77,1,0.012987012987013,,,
2020-07-24 00:00:00,2,1,0.5,1.0,0.0,0
2020-07-23 00:00:00,9,1,0.1111111111111111,2.0,0.0,0
2020-07-22 00:00:00,12,1,0.0833333333333333,,,
2020-07-21 00:00:00,11,7,0.6363636363636364,3.0,0.0,0
2020-07-20 00:00:00,8,1,0.125,,,
2020-07-19 00:00:00,2,1,0.5,,,
2020-07-18 00:00:00,2,0,0,,,
2020-07-17 00:00:00,9,0,0,1.0,0.0,0
2020-07-16 00:00:00,8,0,0,1.0,0.0,0
2020-07-15 00:00:00,18,1,0.0555555555555556,3.0,0.0,0
2020-07-14 00:00:00,8,0,0,1.0,0.0,0
2020-07-13 00:00:00,10,0,0,,,
2020-07-12 00:00:00,1,0,0,,,
2020-07-11 00:00:00,50,3,0.06,,,
2020-07-10 00:00:00,21,0,0,,,
2020-07-09 00:00:00,29,4,0.1379310344827586,1.0,0.0,0
2020-07-08 00:00:00,8,0,0,2.0,0.0,0
2020-07-07 00:00:00,1,0,0,1.0,0.0,0
2020-07-06 00:00:00,14,2,0.1428571428571429,1.0,0.0,0
2020-07-05 00:00:00,1,0,0,,,
2020-07-04 00:00:00,7,3,0.4285714285714286,,,
2020-07-03 00:00:00,5,0,0,,,
2020-07-02 00:00:00,7,0,0,2.0,0.0,0
2020-07-01 00:00:00,8,3,0.375,,,
2020-06-30 00:00:00,11,1,0.0909090909090909,4.0,0.0,0
2020-06-29 00:00:00,18,2,0.1111111111111111,,,
2020-06-28 00:00:00,1,0,0,,,
2020-06-27 00:00:00,1,0,0,,,
2020-06-26 00:00:00,12,1,0.0833333333333333,,,
2020-06-25 00:00:00,11,0,0,1.0,0.0,0
2020-06-24 00:00:00,13,0,0,2.0,0.0,0
2020-06-23 00:00:00,13,0,0,,,
2020-06-22 00:00:00,10,0,0,,,
2020-06-21 00:00:00,7,0,0,,,
2020-06-20 00:00:00,4,1,0.25,,,
2020-06-19 00:00:00,4,0,0,2.0,0.0,0
2020-06-18 00:00:00,8,1,0.125,,,
2020-06-17 00:00:00,11,0,0,2.0,0.0,0
2020-06-16 00:00:00,11,1,0.0909090909090909,1.0,0.0,0
2020-06-15 00:00:00,5,0,0,,,
2020-06-14 00:00:00,3,0,0,,,
2020-06-13 00:00:00,11,0,0,,,
2020-06-12 00:00:00,4,0,0,1.0,0.0,0
2020-06-11 00:00:00,1,0,0,3.0,0.0,0
2020-06-10 00:00:00,11,0,0,1.0,0.0,0
2020-06-09 00:00:00,3,0,0,4.0,0.0,0
2020-06-08 00:00:00,15,0,0,3.0,0.0,0
2020-06-07 00:00:00,12,0,0,,,
2020-06-05 00:00:00,13,0,0,3.0,0.0,0
2020-06-04 00:00:00,8,0,0,2.0,0.0,0
2020-06-03 00:00:00,15,1,0.0666666666666667,,,
2020-06-02 00:00:00,4,0,0,3.0,0.0,0
2020-06-01 00:00:00,9,0,0,4.0,0.0,0
2020-05-31 00:00:00,5,0,0,,,
2020-05-30 00:00:00,1,0,0,,,
2020-05-29 00:00:00,28,2,0.0714285714285714,2.0,0.0,0
2020-05-28 00:00:00,5,1,0.2,2.0,0.0,0
2020-05-27 00:00:00,9,1,0.1111111111111111,4.0,0.0,0
2020-05-26 00:00:00,8,0,0,1.0,0.0,0
2020-05-22 00:00:00,3,0,0,3.0,0.0,0
2020-05-21 00:00:00,5,0,0,3.0,0.0,0
2020-05-20 00:00:00,9,1,0.1111111111111111,3.0,0.0,0
2020-05-19 00:00:00,9,0,0,3.0,0.0,0
2020-05-18 00:00:00,7,0,0,1.0,0.0,0
2020-05-17 00:00:00,2,1,0.5,,,
2020-05-15 00:00:00,3,0,0,3.0,0.0,0
2020-05-14 00:00:00,5,0,0,2.0,1.0,0.5
2020-05-13 00:00:00,5,0,0,3.0,0.0,0
2020-05-12 00:00:00,4,0,0,1.0,0.0,0
2020-05-11 00:00:00,1,0,0,3.0,0.0,0
2020-05-10 00:00:00,2,0,0,,,
2020-05-08 00:00:00,3,0,0,2.0,0.0,0
2020-05-07 00:00:00,1,0,0,1.0,0.0,0
2020-05-06 00:00:00,3,0,0,,,
2020-05-05 00:00:00,4,0,0,2.0,0.0,0
2020-05-04 00:00:00,3,0,0,4.0,0.0,0
2020-05-03 00:00:00,3,0,0,,,
2020-05-02 00:00:00,1,0,0,,,
2020-05-01 00:00:00,1,0,0,2.0,0.0,0
2020-04-30 00:00:00,4,0,0,1.0,0.0,0
2020-04-29 00:00:00,1,0,0,4.0,0.0,0
2020-04-28 00:00:00,1,0,0,,,
2020-04-27 00:00:00,1,0,0,1.0,0.0,0
2020-04-26 00:00:00,3,0,0,,,
2020-04-24 00:00:00,1,0,0,,,
2020-04-23 00:00:00,2,0,0,,,
2020-04-22 00:00:00,2,0,0,,,
2020-04-21 00:00:00,5,0,0,,,
2020-04-20 00:00:00,2,0,0,,,
2020-04-19 00:00:00,2,0,0,,,
2020-04-17 00:00:00,3,0,0,,,
2020-04-16 00:00:00,1,0,0,,,
2020-04-15 00:00:00,3,0,0,,,
2020-04-14 00:00:00,5,0,0,,,
2020-04-13 00:00:00,7,0,0,,,
2020-04-10 00:00:00,1,0,0,,,
2020-04-09 00:00:00,2,0,0,,,
2020-04-08 00:00:00,2,0,0,,,
2020-04-07 00:00:00,4,1,0.25,,,
2020-04-06 00:00:00,3,0,0,,,
2020-04-02 00:00:00,2,0,0,,,
2020-03-31 00:00:00,2,0,0,,,
2020-03-30 00:00:00,2,0,0,,,
2020-03-27 00:00:00,2,1,0.5,,,
2020-03-26 00:00:00,2,0,0,,,
2020-03-25 00:00:00,1,0,0,,,
2020-03-24 00:00:00,3,0,0,,,
2020-03-23 00:00:00,5,0,0,,,
2020-03-20 00:00:00,1,0,0,,,
2020-03-19 00:00:00,2,0,0,,,
2020-03-17 00:00:00,5,0,0,,,
2020-03-16 00:00:00,8,0,0,,,
2020-03-13 00:00:00,2,0,0,,,
2020-03-12 00:00:00,3,0,0,,,
2020-03-11 00:00:00,1,0,0,,,
2020-03-10 00:00:00,1,0,0,,,
